,DATES,Last Price,Open Price,Low Price,High Price,Volume
217,2021-11-11,147.87,148.96,147.681,149.43,40999950
218,2021-11-12,149.99,148.43,147.48,150.4,63804008
219,2021-11-15,150.0,150.37,149.43,151.88,59222803
220,2021-11-16,151.0,149.94,149.34,151.488,59256210
221,2021-11-17,153.49,150.995,150.99,155.0,88807000
222,2021-11-18,157.87,153.71,153.05,158.67,137827673
223,2021-11-19,160.55,157.65,156.533,161.02,117305597
224,2021-11-22,161.02,161.68,161.0,165.7,117467889
225,2021-11-23,161.41,161.12,159.06,161.8,96041899
226,2021-11-24,161.94,160.75,159.64,162.14,69463623
227,2021-11-26,156.81,159.565,156.36,160.45,76959752
228,2021-11-29,160.24,159.37,158.79,161.19,88748217
229,2021-11-30,165.3,159.985,159.92,165.52,174048056
230,2021-12-01,164.77,167.48,164.53,170.3,152423003
231,2021-12-02,163.76,158.735,157.8,164.2,136739174
232,2021-12-03,161.84,164.02,159.72,164.96,118023116
233,2021-12-06,165.32,164.29,164.28,167.88,107496982
234,2021-12-07,171.18,169.08,168.34,171.58,120405352
235,2021-12-08,175.08,172.125,170.7,175.96,116998901
236,2021-12-09,174.56,174.91,173.92,176.75,108923739
237,2021-12-10,179.45,175.205,174.69,179.63,115402731
238,2021-12-13,175.74,181.115,175.53,182.13,153237019
239,2021-12-14,174.33,175.25,172.21,177.74,139380382
240,2021-12-15,179.3,175.11,172.311,179.5,131063257
241,2021-12-16,172.26,179.28,170.75,181.14,150185843
242,2021-12-17,171.14,169.93,169.69,173.47,195923441
243,2021-12-20,169.75,168.28,167.46,170.58,107499114
244,2021-12-21,172.99,171.555,169.12,173.2,91185905
245,2021-12-22,175.64,173.04,172.15,175.86,92135303
246,2021-12-23,176.28,175.85,175.27,176.85,68356567
247,2021-12-27,180.33,177.085,177.07,180.42,74919582
248,2021-12-28,179.29,180.16,178.53,181.33,79144339
249,2021-12-29,179.38,179.33,178.14,180.63,62348931
250,2021-12-30,178.2,179.47,178.09,180.57,59773014
251,2021-12-31,177.57,178.085,177.26,179.23,64062261
252,2022-01-03,182.01,177.83,177.71,182.88,104701220
253,2022-01-04,179.7,182.63,179.12,182.94,99310438
254,2022-01-05,174.92,179.61,174.64,180.17,94537602
255,2022-01-06,172.0,172.7,171.64,175.3,96903955
256,2022-01-07,172.17,172.89,171.03,174.14,86709147
257,2022-01-10,172.19,169.08,168.17,172.5,106765552
258,2022-01-11,175.08,172.32,170.82,175.18,76138312
259,2022-01-12,175.53,176.12,174.82,177.18,74805173
260,2022-01-13,172.19,175.78,171.79,176.62,84505760
261,2022-01-14,173.07,171.34,171.09,173.78,80440780
262,2022-01-18,169.8,171.51,169.405,172.54,91168729
263,2022-01-19,166.23,170.0,165.94,171.08,94814990
264,2022-01-20,164.51,166.98,164.18,169.68,91420515
265,2022-01-21,162.41,164.415,162.3,166.33,122848858
266,2022-01-24,161.62,160.02,154.7,162.3,162706686
267,2022-01-25,159.78,158.98,157.02,162.76,115798367
268,2022-01-26,159.69,163.5,157.82,164.389,108275308
269,2022-01-27,159.22,162.45,158.28,163.84,121954638
270,2022-01-28,170.33,165.71,162.8,170.35,179935660
