Dates,Last Price,Volume,Ticker
2023-09-25,602.0,1238810.0,LAND LN EQUITY
2023-09-25,44.75,103427483.0,LLOY LN EQUITY
2023-09-25,8306.0,480297.0,LSEG LN EQUITY
2023-09-25,69.71,4516759.0,MDLZ US EQUITY
2023-09-25,235.6,3540460.0,MKS LN EQUITY
2023-09-25,98.17,2908970.0,MRNA US EQUITY
2023-09-25,317.54,17835964.0,MSFT US EQUITY
2023-09-25,32678.62,821085400.0,NKY INDEX 
2023-09-25,3.585,75118.0,NOKIA FP EQUITY
2023-09-25,58.86,11493781.0,PYPL US EQUITY
2023-09-25,834.64,294776.0,REGN US EQUITY
2023-09-25,102.64,1468223.0,SAN FP EQUITY
2023-09-25,269.4,2733400.0,SBRY LN EQUITY
2023-09-25,405.5,842661.0,SDR LN EQUITY
2023-09-25,730.2,1365313.0,SGRO LN EQUITY
2023-09-25,4337.44,520438772.0,SPX INDEX
2023-09-25,749.0,5303985.0,STAN LN EQUITY
2023-09-25,4167.37,246315283.0,SX5E INDEX
2023-09-25,246.99,104636557.0,TLSA US EQUITY
2023-09-25,268.8,8475620.0,TSCO LN EQUITY
2023-09-25,62.13,3846288.0,TTE FP EQUITY
2023-09-25,2.38,4316974.0,UKAB10BC INDEX
2023-09-25,4000.0,4316974.0,UKAB3YAC INDEX
2023-09-25,7623.99,454477215.0,UKX INDEX
2023-09-25,4081.0,1987336.0,ULVR LN EQUITY
2023-09-25,917.5,492441.0,UTG LN EQUITY
2023-09-25,233.36,5921753.0,V US EQUITY
2023-09-25,80.0,39165237.0,VOD LN EQUITY
2023-09-25,200.94,309932.0,VRSN US EQUITY
2023-09-25,214.5,3440029.0,VTI US EQUITY
2023-09-26,171.96,64588945.0,AAPL US EQUITY
2023-09-26,51.31,1397850.0,ABI BB EQUITY
2023-09-26,506.3,2375405.0,ADBE US EQUITY
2023-09-26,229.1,864710.0,ALV GR EQUITY
2023-09-26,125.98,73048207.0,AMZN US EQUITY
2023-09-26,620.8,2071921.0,AUTO LN EQUITY
2023-09-26,151.12,2332196.0,AXP US EQUITY
2023-09-26,195.64,3666266.0,BA US EQUITY
2023-09-26,2646.5,1939549.0,BATS LN EQUITY
2023-09-26,69.88,7329308.0,BND US EQUITY
2023-09-26,47.935,1910667.0,BNDX US EQUITY
2023-09-26,60.23,2252126.0,BNP FP EQUITY
2023-09-26,52.71,15618420.0,CSCO US EQUITY
2023-09-26,19.996,6940863.0,DTE GY EQUITY
2023-09-26,2683.0,1299367.0,EXPN LN EQUITY
2023-09-26,420.0,1382971.0,EZJ LN EQUITY
2023-09-26,3.231,4316974.0,GDBR2 INDEX
2023-09-26,75.53,5643933.0,GILD US EQUITY
2023-09-26,128.565,25718704.0,GOOGL
2023-09-26,323.82,1481824.0,GS US EQUITY
2023-09-26,805.8,1243514.0,HL-LN EQUITY
2023-09-26,17466.9,1909387125.0,HSI INDEX
2023-09-26,143.24,4824654.0,IBM US EQUITY
2023-09-26,503.19,1233594.0,INTU US EQUITY
2023-09-26,4063.0,198097.0,ITRK LN EQUITY
2023-09-26,144.93,7468405.0,JPM US EQUITY
2023-09-26,605.2,1347411.0,LAND LN EQUITY
2023-09-26,44.925,94487683.0,LLOY LN EQUITY
2023-09-26,8296.0,555946.0,LSEG LN EQUITY
2023-09-26,70.57,9672228.0,MDLZ US EQUITY
2023-09-26,235.9,4232456.0,MKS LN EQUITY
2023-09-26,98.12,2888397.0,MRNA US EQUITY
2023-09-26,312.14,26297573.0,MSFT US EQUITY
